id,amount_tsh,gps_height,longitude,latitude,num_private,population,status_group
17667,250,1409,29.93623546,-4.42247009,0,370,1
73543,0,436,34.60709816,-10.55015427,0,160,1
29657,0,0,0,-2.00E-08,0,0,1
12515,0,991,30.39482317,-5.10616184,0,550,1
18756,0,0,33.00295343,-9.06447874,0,0,0
57211,0,2022,36.2217849,-2.92763627,0,150,1
60075,0,1699,35.58392228,-3.80713525,0,310,0
65870,0,0,33.17267695,-4.64753059,0,0,0
37359,10,1554,35.83469132,-3.27323916,0,200,0
36470,0,1039,38.00070587,-4.40056984,0,230,0
74058,0,0,0,-2.00E-08,0,0,1
51301,0,0,36.39926007,-6.75624575,0,0,0
26999,500,1683,34.90452678,-8.96920112,0,120,0
43864,50,1535,36.55769837,-5.30717256,0,200,1
6836,0,1611,29.80250714,-4.45777956,0,360,1
65087,0,1143,36.32094379,-2.8239004,7,1,0
15048,0,1191,37.30151368,-3.25258208,0,1,0
30004,0,0,33.07089281,-9.0249513,0,0,0
34064,0,0,0,-2.00E-08,0,0,0
35811,0,0,0,-2.00E-08,0,0,1
18959,0,53,39.41022852,-8.77132872,0,45,0
66440,0,0,31.55921557,-1.42395046,0,0,0
14397,0,158,37.70774464,-7.4231446,0,420,0
63924,100,861,29.78375309,-4.98756544,0,400,1
65887,200,218,36.67616372,-8.12946992,0,500,1
5653,0,0,32.71514488,-3.85034048,0,0,1
40725,0,0,0,-2.00E-08,0,0,1
27886,600,994,29.73493982,-4.81168075,0,433,1
32285,5,1551,35.62340153,-3.35750373,0,250,0
71206,0,1151,36.3368921,-2.86546003,0,1500,0
19922,20,309,38.3978813,-6.11944783,0,20,0
54757,0,0,36.11097809,-5.04953564,0,0,0
72971,0,0,33.87325942,-4.27801676,0,0,0
17966,500,453,37.08045206,-6.8764394,0,250,0
19937,0,0,33.52833617,-3.60080016,0,0,0
66791,0,1422,36.29458738,-3.4010952,0,1,1
64542,0,1838,36.70887304,-3.32670423,0,150,0
42095,2000,1627,34.77692293,-8.94903736,0,65,0
70618,0,0,32.86246042,-8.92183595,0,0,1
24082,0,0,0,-2.00E-08,0,0,1
51283,0,225,38.78639264,-5.108054,0,150,0
71125,1000,921,35.31439884,-10.75701296,0,0,1
17541,1000,1323,37.91841942,-4.15448819,0,30,1
67447,0,1360,34.93916893,-10.12676456,0,150,0
39888,0,1537,37.28550021,-3.20328901,0,50,1
40464,0,0,0,-2.00E-08,0,0,0
57036,0,1391,30.28758768,-4.4514775,0,2700,1
10988,0,0,34.22099625,-3.6876412,0,0,0
1684,0,0,34.41552943,-8.61921487,0,0,0
9512,0,171,38.80154248,-5.0847524,0,150,0
14698,0,1156,33.62950024,-1.79193979,0,450,0
47862,0,0,34.39454128,-3.91411573,0,0,0
19335,5,1536,35.64119355,-3.34641306,0,300,0
55371,0,1317,36.84275965,-6.1905432,0,230,1
14126,0,363,38.33485099,-5.05808262,0,300,0
50048,0,0,33.62802938,-9.36235068,0,0,1
7916,1000,1025,35.27813186,-10.44091505,0,350,1
10600,500,928,29.67306868,-4.78483903,0,166,1
6943,500,1525,34.78564306,-4.83752649,0,45,0
10737,5000,1975,34.32676257,-9.50641074,0,0,0
70987,250,1512,29.80892692,-4.53446663,0,650,0
7179,0,1784,34.69691842,-9.14886937,0,50,0
38980,2400,1622,34.93188508,-8.6941411,0,0,0
713,0,1677,35.15509555,-8.25448781,0,0,0
35631,0,0,33.82807175,-9.16147065,0,0,0
36726,0,321,35.81212723,-8.77042496,0,200,0
29871,0,1749,31.76362251,-8.44213429,0,250,0
19829,10,-8,40.19704668,-10.29138703,0,640,1
70844,0,0,32.21697388,-3.37335176,0,0,0
44755,50,849,35.06879779,-5.8622973,0,812,0
41042,600,984,29.72844316,-4.8253934,0,530,1
36596,0,66,39.52472106,-10.03496212,0,200,0
43912,0,1127,31.21185462,-8.48320557,0,300,0
73046,0,1382,37.88462628,-4.20821435,0,210,0
17068,0,0,0,-2.00E-08,0,0,1
55604,0,0,33.7935855,-3.11642775,0,0,1
61766,0,0,33.39682644,-4.261128,0,0,1
10435,1500,2034,34.59835184,-9.27838639,0,26,0
64971,0,149,38.73005645,-4.99798368,0,800,0
12673,0,1231,35.93260008,-4.18831744,0,240,0
52008,0,1087,35.29873711,-3.33064209,0,150,0
73826,250,1408,30.07295961,-4.31871775,0,650,1
33374,0,0,32.90780018,-8.81721746,0,0,0
46189,600,780,29.73238181,-4.90977381,0,220,1
53794,0,0,32.59379898,-4.22210043,0,0,0
52246,0,0,0,-2.00E-08,0,0,1
43567,0,801,31.55427702,-7.64625497,0,250,0
33446,0,944,35.14206076,-10.75199522,0,60,0
23474,500,1547,34.85712779,-11.13650701,55,80,1
887,0,936,35.17164437,-11.12395577,0,120,1
42638,0,0,33.36984865,-4.00874771,0,0,1
58213,200,274,37.76123702,-7.05177077,0,80,1
39811,0,1436,36.93616837,-4.20468352,0,400,0
43868,0,0,35.63428017,-6.09456836,0,0,0
28412,0,0,31.69059038,-2.3728944,0,0,0
19997,100,1580,35.29256588,-9.38758593,0,45,0
2728,0,0,0,-2.00E-08,0,0,1
4540,0,0,32.82958444,-9.26284824,0,0,1
5883,0,0,30.60795365,-2.52811385,0,0,0
19146,0,1084,34.97618033,-5.70909902,0,350,1
59721,3000,893,31.39147818,-7.46419324,0,450,1
72025,0,0,30.97491244,-1.70364121,0,0,1
64778,0,0,0,-2.00E-08,0,0,1
55156,600,821,29.686622,-4.85012752,0,355,1
37918,0,281,36.85886411,-7.95638017,0,300,0
60137,250,1265,30.04662645,-4.70098129,0,470,1
35695,0,2166,34.65330562,-9.63853613,0,20,0
21666,50,67,39.12520328,-6.91335389,0,200,0
37136,0,0,30.51144773,-2.5310725,0,0,1
71486,0,4,39.11622608,-5.01819888,0,80,0
62508,20,180,38.3478265,-6.6364048,0,10,0
17314,4000,1152,32.08618566,-6.8139254,0,140,1
25970,0,0,0,-2.00E-08,0,0,1
57738,1000,773,37.86334656,-4.33776441,0,140,1
36472,500,1407,34.53414527,-8.8732247,0,53,1
18156,0,1587,37.11648229,-3.16278939,0,1,0
10110,0,0,34.06389345,-8.83405438,0,0,1
24797,0,1639,34.99175372,-4.64002736,0,1,1
5703,0,2013,35.36285227,-1.9583084,0,225,1
36276,600,971,29.72753989,-4.82105663,0,444,1
23858,0,1890,31.67833232,-8.08294576,0,0,0
59236,500,1001,29.73419905,-4.75155116,0,102,1
59165,500,1015,29.6985675,-4.75345005,0,140,1
50693,50,450,39.42879042,-10.87186152,0,270,0
61942,0,0,33.55685252,-2.88623135,0,0,1
48493,0,0,33.45227997,-8.57156166,0,0,1
17439,0,0,35.67164042,-6.36889807,0,0,0
50300,0,1000,35.55761802,-10.79980097,0,0,0
